Type of User,Source,Device,Returning Visitor,New Visitor,Google CPC,TripAdvisor,Direct,DFA,Email,Referral,Desktop,Mobile,Tablet,Users,Sessions,No of Pages Visited,No of Transactions,Revenue
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,7240,10776,45328,64,456710.54
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,21442,35015,173192,130,362368.88
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,2989,2996,7989,13,341553.9
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,2637,4112,16936,15,278226.12
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,3538,5179,21534,35,216213
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,25099,25134,42127,142,205255.96
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,23225,23302,90779,28,187332.8
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,4826,7648,32763,55,185295.97
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,11348,17901,87182,54,183433.04
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,6487,10222,39352,81,182811.98
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,39809,39889,124803,53,173811.89
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,1702,3127,12016,117,164244.41
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,1059,2370,7199,21,159718.05
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,9077,14250,61015,89,139830.83
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,4147,6894,24709,78,138872.38
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,4690,6937,28027,94,130114.94
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,8288,8305,26337,18,129369.65
Returning Visitor,google / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,8045,13085,52658,101,126359.52
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,4887,8874,33869,116,109825.32
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,951,2043,6653,37,102609.58
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,42959,42999,118835,75,93777.52
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,1371,2405,10774,46,93152.82
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,5746,9252,37526,56,91640.88
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,48,48,99,3,88672
Returning Visitor,(direct) / (none),desktop,1,0,0,0,1,0,0,0,1,0,0,398,848,3520,1,87936
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,644,1945,6169,40,86961.74
